game_title ,editorial_rating , user_rating , game_price ,game_price_cents, editor  , type ,device ,
The Elder Scrolls III : Morrowind sur PC,18,18.3,13,49,BethesdaSoftworks,Fantastique,PC,
Baldur's Gate sur PC,18,18.1,14,35,Interplay,Oui,PC,
Street Fighter V : Arcade Edition sur PC,18,8.2,12,90,Capcom,+12ans,PC,
Company of Heroes sur PC,18,18.3,8,91,RelicEntertainment,+18ans,PC,
No One Lives Forever sur PC,18,18.3,25,0,FoxInteractive,De2à16joueurs,PC,
Virtual Skipper 3 sur PC,18,16.3,3,0,Focus,Simulation,PC,
Rage sur PC,18,14.6,8,99,BethesdaSoftworks,Post-apocalyptique,PC,
Star Wars Episode I : Racer sur PC,18,17.8,69,99,Ubisoft,Cinéma,PC,
Grand Theft Auto IV sur PC,18,16.1,7,99,RockstarNorth,Contemporain,PC,
F1 World Grand Prix sur PC,18,13.2,7,99,EidosInteractive,+3ans,PC,
Splinter Cell Double Agent sur PC,18,14.9,2,99,Ubisoft,Infiltration,PC,
Tomb Raider sur PC,18,16,9,99,CrystalDynamics,Contemporain,PC,
Pro Evolution Soccer 6 sur PC,18,14.8,24,0,Konami,+3ans,PC,
Mount & Blade : Warband sur PC,18,17.8,15,99,TaleWorldsEntertainment,ActionRPG,PC,
Myst III : Exile sur PC,18,17.2,24,0,PrestoStudios,Réflexion,PC,
Dead Space sur PC,18,17.1,7,99,ElectronicArts,Extraterrestres,PC,
Grand Theft Auto : Vice City sur PC,18,17.7,8,99,RockstarGames,Contemporain,PC,
Assassin's Creed II sur PC,18,15.1,8,99,UbisoftMontreal,Historique,PC,
Les Sims 3 sur PC,18,16.4,27,0,Maxis,Simulation,PC,
Payday 2 sur PC,18,15.4,19,92,Overkill,+16ans,PC,
Quake sur PC,18,16.9,4,49,idSoftware,CD,PC,
Crusader Kings II sur PC,18,17.3,19,90,ParadoxInteractive,Moyen-Age,PC,
Mass Effect 2 sur PC,18,17.7,5,80,BioWare,Extraterrestres,PC,
Flight Simulator 2004 : Un Siècle d'Aviation sur PC,18,17.5,19,94,Microsoft,+3ans,PC,
The Elder Scrolls V : Skyrim sur PC,18,17.8,7,99,BethesdaSoftworks,Dragons,PC,
Warhammer 40.000 : Dawn of War II sur PC,18,16,6,19,RelicEntertainment,Tactique,PC,
The Witcher - Enhanced Edition sur PC,18,17.6,29,93,CDProjekt,ActionRPG,PC,
Football Manager 2013 sur PC,18,13.2,14,43,SportsInteractive,Football,PC,
NBA 2K12 sur PC,18,16.2,26,0,VisualConcepts,+3ans,PC,
GTR 2 sur PC,18,18.2,26,0,SimBinDevelopmentTeam,Simulation,PC,
The Witcher 2 : Assassins of Kings sur PC,18,16.7,11,99,CDProjektRED,HeroicFantasy,PC,
Half-Life 2 sur PC,18,18.1,24,99,VivendiUniversalGames,Science-Fiction,PC,
Colin McRae Rally 04 sur PC,18,16,14,50,Codemasters,+3ans,PC,
Warcraft III : Reign of Chaos sur PC,18,18.3,27,0,VivendiUniversalGames,HeroicFantasy,PC,
South Park : Le Bâton de la Vérité sur PC,18,17.5,5,77,Obsidian,Animation,PC,
Official Formula 1 Racing sur PC,18,12.8,12,99,Lankhor,CD,PC,
Runaway 2 : The Dream of the Turtle sur PC,18,16.4,9,99,PenduloStudios,Point'nClick,PC,
GP 500 sur PC,18,18,37,0,MicroProse,Simulation,PC,
Gears of War sur PC,18,16,61,0,Microsoft,+18ans,PC,
Pizza Syndicate sur PC,18,15.1,1,0,Software2000,CD,PC,
Company of Heroes : Opposing Fronts sur PC,18,18.3,3,99,RelicEntertainment,+18ans,PC,
Crysis sur PC,18,17.2,9,76,Crytek,Contemporain,PC,
Need for Speed : Conduite en Etat de Liberté sur PC,18,18,26,0,ElectronicArts,CD,PC,
Football Manager 2010 sur PC,18,17.5,24,0,SportsInteractive,Football,PC,
Dark Project : La Guilde des Voleurs sur PC,18,17.4,19,99,LookingGlass,Infiltration,PC,
Starcraft II : Wings of Liberty sur PC,18,17.2,12,30,ActivisionBlizzard,+16ans,PC,
Borderlands 2 sur PC,18,17.7,9,79,2KGames,Cyberpunk,PC,
Assassin's Creed : Brotherhood sur PC,18,16.8,6,98,UbisoftMontreal,Historique,PC,
StarLancer sur PC,18,17.3,90,0,Microsoft,Tir,PC,
Batman Arkham Asylum sur PC,18,17.5,4,89,Rocksteady,Animation,PC,
NBA 2K11 sur PC,18,16.7,29,90,VisualConcepts,+3ans,PC,
The Next Penelope sur PC,18,16.2,11,49,noinformation,noinformation,PC,
World of Warcraft : Legion sur PC,18,17.3,22,45,ActivisionBlizzard,MMORPG,PC,
Tournament sur PC,18,18.7,29,99,GTInteractive,Oui,PC,
In Memoriam : Le Dernier Rituel sur PC,18,18,4,99,LexisNumérique,Réflexion,PC,
Flight Simulator X sur PC,18,17.8,22,41,Microsoft,+3ans,PC,
Planescape : Torment sur PC,18,18.1,49,99,BlackIsleStudios,Fantasy,PC,
Motocross Madness 2 sur PC,18,18,25,1,Microsoft,Oui,PC,
Doom sur PC,18,18.8,29,99,idSoftware,CD,PC,
Splinter Cell Pandora Tomorrow sur PC,18,17.2,15,75,Ubisoft,+12ans,PC,
Les Sims sur PC,18,17,27,0,ElectronicArts,Simulation,PC,
Far Cry 3 sur PC,18,17,7,99,UbisoftMontreal,Contemporain,PC,
Devil May Cry 4 sur PC,18,16.6,7,99,Capcom,Plate-Forme,PC,
Ground Control sur PC,18,16.7,8,0,MassiveEntertainment,+12ans,PC,
BlazBlue : Calamity Trigger sur PC,18,16.2,2,30,ArcSystemWorks,+12ans,PC,
Command & Conquer sur PC,18,17.5,80,0,WestwoodStudios,+16ans,PC,
SimCity 4 sur PC,18,17.6,24,99,ElectronicArts,+3ans,PC,
Max Payne sur PC,18,17.3,9,99,Take-TwoInteractive,+16ans,PC,
S.T.A.L.K.E.R. : Call of Pripyat sur PC,18,17.4,19,99,bitComposer,+16ans,PC,
Far Cry sur PC,18,17.3,6,99,Crytek,Enquête,PC,
Titan Quest sur PC,18,17,3,99,IronLore,+12ans,PC,
Prince of Persia : Les Deux Royaumes sur PC,18,17.1,4,90,Ubisoft,Plate-Forme,PC,
Spore sur PC,18,16.5,19,89,Maxis,Simulation,PC,
Dragon Age : Origins sur PC,18,17.2,9,99,BioWare,HeroicFantasy,PC,
Grand Theft Auto V sur PC,18,15.7,15,99,RockstarGames,TPS,PC,
L'Amerzone sur PC,18,15,1,99,Microïds,Siteofficiel,PC,
Football Manager 2011 sur PC,18,17.3,8,95,Sega,+3ans,PC,
Devil Inside sur PC,18,15.9,17,10,CryoInteractive,Non,PC,
EverQuest II sur PC,18,16.2,6,0,DaybreakGameCompany,+12ans,PC,
Wildstar sur PC,18,16.3,2,79,CarbineStudios,Science-Fiction,PC,
Trials Evolution : Gold Edition sur PC,18,16,12,99,RedLynx,Plate-Forme,PC,
Black & White sur PC,18,17.4,24,0,Lionhead,+12ans,PC,
Call of Duty : Black Ops sur PC,18,13.4,14,99,Treyarch,+18ans,PC,
Dethkarz sur PC,18,17.6,49,90,MelbourneHouse,+3ans,PC,
Pro Evolution Soccer 5 sur PC,18,16.1,24,0,Konami,Siteofficiel,PC,
Unreal Tournament 2003 sur PC,18,17.9,19,99,Infogrames,Oui,PC,
World of Warcraft sur PC,18,16.6,5,10,VivendiUniversalGames,MMORPG,PC,
Starcraft sur PC,18,18.4,7,50,BlizzardEntertainment,Siteofficiel,PC,
Mass Effect sur PC,18,17.5,4,36,BioWare,Extraterrestres,PC,
XCOM 2 sur PC,18,15.1,24,90,Firaxis,Science-Fiction,PC,
Shadow Tactics : Blades of the Shogun sur PC,18,18.6,13,99,DaedalicEntertainment,Tactique,PC,
Assassin's Creed Origins sur PC,18,16.3,53,99,UbisoftMontreal,Infiltration,PC,
NBA 2K19 sur PC,17,11.4,34,99,VisualConcepts,Basket,PC,
F1 2018 sur PC,17,13.6,39,99,Codemasters,Formule1,PC,
Overcooked 2 sur PC,17,15.5,2,39,Team17,Adresse,PC,
Wreckfest sur PC,17,16.7,44,99,BugbearEntertainment,Jouableensolo,PC,
Crash Bandicoot N. Sane Trilogy sur PC,17,16,27,93,Activision,Plate-Forme,PC,
The Elder Scrolls Online : Summerset sur PC,17,13.9,29,99,BethesdaSoftworks,MMORPG,PC,
Ghost of a Tale sur PC,17,18.2,20,69,SeithCG,+12ans,PC,
V-Rally 2 sur PC,17,14.2,4,99,Infogrames,De2à4joueurs,PC,
Command & Conquer : Alerte Rouge 3 sur PC,17,14.8,19,99,ElectronicArts,2à6joueurs,PC,
Mortal Kombat X sur PC,17,14.1,5,18,WarnerBrosGames,Fantastique,PC,
Starcraft II : Legacy of the Void sur PC,17,17.8,10,65,BlizzardEntertainment,Multienligne,PC,
Black & White : L'Ile aux Créatures sur PC,17,15,64,0,ElectronicArts,+3ans,PC,
